State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Mizoram,KOLASIB,KOLASIB,NH-306,KHAMRANG,1,4,2,0.0,0.0,2,2,0.0,0.0,2
Mizoram,SERCHHIP,SERCHHIP,NH,RALKIAUVA KHAM,1,9,0,1.0,1.0,2,0,1.0,1.0,2
Madhya Pradesh,Shivpuri,Amola,NH 27,Naya Amola sirsos chouraha,02-May,3-0,6,11.0,7.0,24,6,8.0,9.0,23
Madhya Pradesh,Khargon,Maheswar,NH 3,Ganpati Ghat ganesh mandir ke pas A B Road Bakaner,50-1,50-21,4,5.0,8.0,17,3,13.0,7.0,23
Madhya Pradesh,Devash,O Chetra Devash,NH 3,Rasoolpur Chouraha,1-0,01-May,158,,,158,22,,,22
Madhya Pradesh,Sagar,Cant,NH 26,For line gadpahra tiraha,2-0,02-May,8,14.0,5.0,27,4,8.0,9.0,21
Madhya Pradesh,Dhar,Sector 1,NH 3,AB Road bhodiya talab ke samne tiraha,22-0,22-2,6,4.0,13.0,23,7,3.0,9.0,19
Madhya Pradesh,Mandsore,Pipaliya Mandi,NH 79,Pipliya mandi choupati Highway Road,14-May,15,7,6.0,9.0,22,7,5.0,7.0,19
Madhya Pradesh,Shivpuri,Amola,NH 27,Amola Krasher,10,10-May,3,4.0,6.0,13,7,5.0,5.0,17
Madhya Pradesh,Dhar,Dhamnod,NH 3,Ganesh Ghat,8,12,82,,,82,17,,,17
Madhya Pradesh,Nimach,Jawad,NH 79,Kanka Fanta Highway,03-Jan,03-Feb,2,3.0,18.0,23,2,11.0,3.0,16
Madhya Pradesh,Bhind,dehat,NH 92,Daboha more,3-0,03-May,5,5.0,10.0,20,2,4.0,9.0,15
Nagaland,Kohima,South PS,NH/29,NST garage New Reserve Junction,184,184.5,10,5.0,5.0,20,2,0.0,0.0,2
Nagaland,Kohima,South PS,NH/29,City Church-ioc,182-5,183,17,9.0,14.0,40,0,0.0,1.0,1
Nagaland,Kohima,South PS,NH/29,"New reserve Junction, revival Church",184.5,185,5,0.0,7.0,12,1,,0.0,1
Nagaland,Kohima,North PS,NH/2,Kezieke to Tinpati,1,1.5,5,,,5,1,,,1
Nagaland,Kohima,South PS,NH/29,TCP gate-City Church,182,182.5,16,11.0,9.0,36,0,0.0,0.0,0
Nagaland,Kohima,South PS,NH/29,IOC-OLD NST,183,183-5,6,7.0,5.0,18,0,0.0,0.0,0
Nagaland,Kohima,South PS,NH/29,OLD INT NST garage,183.5,184,8,8.0,5.0,21,0,0.0,0.0,0
Nagaland,Kohima,Sechü Zubza PS,NH/29,Orphanage to AR Camp,177.5,178,2,,5.0,7,0,0.0,,0
Nagaland,Kiphire,Kiphire PS,NH-202,Kiphire Town,220,220.5,1,3.0,1.0,5,0,0.0,0.0,0
Nagaland,Kohima,Sechü Zubza PS,NH/29,Lalmati to Peducha Village,164,164.5,6,5.0,,11,0,0.0,,0
Rajasthan,Jaipur Gramin,Chaikankan,8,Padasoli,339.75,339.95,13,14.0,9.0,36,7,15.0,4.0,26
Rajasthan,Jaipur Gramin,Chaikankan,8,Moukhampura,312.3,312.65,15,11.0,13.0,39,7,10.0,7.0,24
Rajasthan,Jaipur Gramin,Chaikankan,8,Mahlan,301.1,301.45,10,14.0,13.0,37,8,7.0,8.0,23
Rajasthan,Ajmer,Vyawar Sadar,8,Kharwa Chouraha,1,1,13,11.0,11.0,35,7,9.0,6.0,22
Rajasthan,Rajsamand,Bhim,8,Nandawat,1.5,2,9,15.0,12.0,36,7,12.0,2.0,21
Rajasthan,Jaipur Purva,Kanota,NH-11,Mali ki Kothi bagrana,369 KM,369.10 KM,21,13.0,14.0,48,8,6.0,6.0,20
Rajasthan,Udaypur,Kherwad,8,Khandi Obari,345-60,346-10,6,7.0,3.0,16,6,11.0,3.0,20
Rajasthan,Jaipur Gramin,Bendakuramp,8,BELPUR,0,500 METER,5,12.0,4.0,21,5,12.0,2.0,19
Rajasthan,Bharatpur,Rupwas,NH NO123,Bokoli,1,1,5,3.0,11.0,19,5,3.0,11.0,19
Rajasthan,Bundi,Taleda,",u ,p 52",Bllop pulia ke pas,0.5,1,12,3.0,7.0,22,2,1.0,16.0,19
Tamilnadu,Chennai City,T1 Ambattur Traffic P S,NH 205,"C.T.H. Road Mannurpet, AMBT Tel Exchange",18,18.5,251,300.0,224.0,775,59,56.0,51.0,166
Tamilnadu,Chennai City,T15 SRMC Traffic P S,NH 48,"Tambaram - Puzhal Bypass Road,  Porur Toll gate Near",17,17.5,173,119.0,131.0,423,30,30.0,37.0,97
Tamilnadu,Chennai City,T12 Poonamallee Traffic P S,NH 44,"Bangalore-Chennai NH Rd, Nazarethpet junction",5,5.5,166,188.0,166.0,520,27,37.0,31.0,95
Tamilnadu,Cuddalore,Kadampuliyur  PS,NH 45 C,Panikankuppam,30.4,30.9,113,86.0,86.0,285,16,11.0,14.0,41
Tamilnadu,Vellore,Ambur Taluk PS,NH 46,Minnur JN,32,32.5,11,9.0,18.0,38,11,9.0,18.0,38
Tamilnadu,Kanchipuram,G1 MADHURANTHAGAM,NH,Karunkuzhi,4,4.5,32,30.0,20.0,82,12,12.0,12.0,36
Tamilnadu,Chennai City,T4 Maduravoyal Traffic P S,NH-45,P.H Road-Vembuli Amman koil junction,0.5,1,45,59.0,43.0,147,9,22.0,5.0,36
Tamilnadu,Vellore,Ambur Taluk PS,NH 46,Periyangkuppam JN,35,35.5,11,11.0,13.0,35,11,11.0,13.0,35
Tamilnadu,Viluppuram,Olakkur PS,NH 45,Saram BDO office,114+750,115+250,27,27.0,24.0,78,10,15.0,6.0,31
Tamilnadu,Cuddalore,Annamalai nagar ps,NH 45A,Vallampadugai,116.1,116.6,41,46.0,32.0,119,12,11.0,8.0,31
Uttrakhand,UKI,Dhrasu,NH 108,Nalupani,2,2.5,3,3.0,1.0,7,3,36.0,2.0,41
Uttrakhand,UDN,ITI,NH 74,Permanandpur,152,152.5,7,5.0,2.0,14,10,6.0,2.0,18
Uttrakhand,TWL,Chamba,NH 94,Kirgani,81,81.5,0,0.0,1.0,1,0,0.0,17.0,17
Uttrakhand,UKI,Purola,NH 507,Rikhau Khadd,62,62.5,0,0.0,1.0,1,0,0.0,15.0,15
Uttrakhand,UDN,Rudrapur,NH 74,Radha Swami Satsang,196,196.5,0,4.0,12.0,16,2,1.0,12.0,15
Uttrakhand,UDN,Kicha,NH 74,Lalpur,208,208.5,1,3.0,8.0,12,5,1.0,8.0,14
Uttrakhand,ALM,bhatroujkhan,NH 14,Kholyadhar,85,85.24,0,0.0,1.0,1,0,0.0,14.0,14
Uttrakhand,UDN,ITI,NH 74,Goutami Hight,149,149.5,4,2.0,4.0,10,7,2.0,4.0,13
Uttrakhand,NTL,Rannagar,NH 121,Kasba Pirumdara,235,235.3,7,6.0,4.0,17,2,7.0,4.0,13
Uttrakhand,UKI,Maneri,NH 109,helkugad,60,60.2,0,1.0,0.0,1,0,12.0,0.0,12
Delhi,NORTH WEST,"SP Badli, Swaroop Nagar",NH-1,LIBAS PUR BUS STAND,16.2,15.7,16,10.0,18.0,44,10,3.0,9.0,22
Delhi,NORTH WEST,Mahendra Park and SP Badli,NH-1,MUKARBA CHOWK,14.2,13.7,24,18.0,16.0,58,5,6.0,7.0,18
Delhi,NORTH WEST,Alipur,NH-1,SHANI MANDIR,22.2,21.7,17,9.0,3.0,29,10,8.0,0.0,18
Delhi,NORTH WEST,Adarsh Nagar,NH-1,AZAD PUR CHOWK,10.1,9.6,15,19.0,8.0,42,2,9.0,5.0,16
Delhi,WEST,Punjabi Bagh,NH-10,PUNJABI BAGH CHOWK,8.7,8.2,18,12.0,20.0,50,6,5.0,5.0,16
Delhi,NORTH WEST,"SP Badli, Swaroop nagar",NH-1,SIRASPUR,17.5,17,9,13.0,11.0,33,2,8.0,6.0,16
Delhi,SOUTH,Vasant Kunj South and North,NH-8,MAHIPALPUR FLYOVER,18.3,17.8,19,18.0,12.0,49,2,6.0,7.0,15
Delhi,WEST,Punjabi Bagh,NH-10,METRO STATION MADIPUR,12.1,11.6,12,21.0,15.0,48,4,6.0,5.0,15
Delhi,NORTH WEST,Alipur,NH-1,SINGHU BORDER,29,28.5,7,8.0,8.0,23,2,5.0,8.0,15
Delhi,WEST,Mianwali Nagar,NH-10,PEERA GARHI CHOWK,14.7,14.2,17,14.0,20.0,51,3,5.0,6.0,14
West Bengal,Hooghly Rural,Singur,NH-2,Ratanpur Bridge,632.07,632.42,14,4.0,4.0,22,11,2.0,4.0,17
West Bengal,Howrah Rural,Uluberia,NH-6,Birshibpur,54.46,54.7,7,4.0,3.0,14,7,7.0,3.0,17
West Bengal,Paschim Medinipur,Kharagpur (Local),NH-6,Basantapur,117.25,117.5,5,7.0,5.0,17,3,9.0,5.0,17
West Bengal,Uttar Dinajpur,Islampur,NH-31,Ramganj,516.8,517,4,10.0,2.0,16,4,11.0,2.0,17
West Bengal,Asansol-Durgapur PC,Kanksa,NH-2,Rajbandh,508.37,508.6,4,14.0,7.0,25,2,11.0,3.0,16
West Bengal,Birbhum,Md. Bazar,NH-60,Seharakuri Bus Stand,349.1,349.3,6,8.0,4.0,18,7,7.0,2.0,16
West Bengal,Asansol-Durgapur PC,Kanksa,NH-2,Birudiha Bus Stand,512.95,513,6,9.0,2.0,17,6,5.0,4.0,15
West Bengal,Howrah PC,Liluah,NH-6,Chamrial Petrol Pump,20.2,20.5,7,8.0,4.0,19,4,7.0,4.0,15
West Bengal,Howrah Rural,Domjur,NH-6,Nibra,26.1,26.5,7,8.0,7.0,22,5,5.0,5.0,15
West Bengal,Howrah Rural,Sankrail,NH-6,Alampur,31.5,31.65,9,6.0,2.0,17,9,4.0,2.0,15
Assam,CITY GUWAHATI,Gorchuk,NH-37,"Garchuk to NP School, Lalunggaon",,,59,65.0,69.0,193,32,35.0,37.0,104
Assam,CITY GUWAHATI,Gorchuk,NH-37,Boragaon to Garchuk,,,59,55.0,49.0,163,28,27.0,26.0,81
Assam,CITY GUWAHATI,Sonapur,NH-37,Patarkuchi to Naziraghat,,,49,50.0,34.0,133,18,22.0,22.0,62
Assam,CITY GUWAHATI,Jalukbari OP,NH-37,Padumbori to Tetelia,,,40,40.0,46.0,126,15,18.0,21.0,54
Assam,CITY GUWAHATI,Sonapur,NH-37,Baligate to Kapalkata to Samata,,,59,56.0,42.0,157,30,26.0,20.0,76
Assam,CITY GUWAHATI,Basistha,NH-37,Beharbari Chariali to Lalmati,,,70,67.0,49.0,186,22,25.0,17.0,64
Assam,CITY GUWAHATI,Azara,NH-37,Azara PHC to Dharapur Petrol Pump,,,39,40.0,39.0,118,7,9.0,15.0,31
Assam,CITY GUWAHATI,Jorabat,NH-37,8th Mile to 9th Mile,,,31,31.0,24.0,86,7,10.0,11.0,28
